"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa"
"Not Feeding",NA,NA,NA
"Cellana radians",6.24820073646728,NA,NA
"Cominella adspersa",NA,NA,NA
"Crassostrea gigas",NA,73.8497332842242,NA
"Dicathais orbita",53.4363490507352,NA,NA
"Diloma aethiops",12.6487413010577,4.59309019601664,NA
"Fossarina rimata",14.386646527977,NA,NA
"Haustrum scobina",36.801627926171,31.3541837772762,NA
"Notoacmea parviconoidea",3.45613163522826,NA,NA
"Patelloida corticata",9.25309206555188,NA,NA
"Plaxiphora caelata",18.8887477009589,NA,NA
"Risellopsis varia",NA,25.0848121575647,NA
"Siphonaria australis",4.81118130413457,3.66057046213188,NA
"Sypharochiton pelliserpentis",NA,NA,NA
"Turbo smaragdus",89.1288283473353,146.823587159569,88.8161974858271
"UNID Limpet",2.77561091621891,NA,NA
"Zeacumantus subcarinatus",NA,13.9251706227869,NA
