"Prey","Leigh - Waterfall Rocks","Rangitoto Island - Whites Beach","Red Beach - Whangaparaoa","LeighEchinodermReef","LeighTabletopRocksandBoulders"
"Not Feeding",NA,NA,NA,NA,NA
"Cellana radians",9.14538588588375,NA,NA,NA,10.2480674859815
"Cominella adspersa",NA,NA,91.954493158579,NA,NA
"Crassostrea gigas",NA,68.6301686962511,68.6301686962511,NA,NA
"Dicathais orbita",NA,NA,NA,NA,NA
"Diloma aethiops",24.4166991874847,17.0172823836673,NA,NA,17.811356977719
"Diloma nigerrima",NA,NA,NA,NA,NA
"Fossarina rimata",NA,NA,NA,8.2580655568046,NA
"Haustrum scobina",44.245667599083,48.3114506305373,47.6068577031321,26.4403078206387,36.0792876285693
"Notoacmea parviconoidea",NA,NA,NA,NA,NA
"Patelloida corticata",3.7133954552336,NA,NA,NA,8.13107959417355
"Plaxiphora caelata",NA,NA,NA,NA,NA
"Risellopsis varia",NA,NA,NA,NA,NA
"Siphonaria australis",4.73988531341256,NA,NA,3.08516440088826,6.03999703813443
"Sypharochiton pelliserpentis",42.4122314973262,NA,NA,NA,NA
"Turbo smaragdus",140.916802813957,116.071130935036,121.228102929432,89.254405243537,131.41419888133
"UNID Limpet",NA,NA,NA,NA,NA
"Zeacumantus subcarinatus",NA,NA,NA,NA,NA
