"Pred","Prey","MatchToPred","MatchToPrey"
NA,"Atalacmea fragilis",NA,NA
"Haustrum haustorium","Cantharidella tesselata",NA,NA
"Haustrum haustorium","Cellana denticulata",NA,NA
"Haustrum haustorium","Cellana ornata",NA,NA
"Haustrum haustorium","Cellana radians",NA,NA
NA,"Chamaesipho columna",NA,NA
"Haustrum scobina","Chamaesipho spp",NA,NA
"Haustrum haustorium","Chamaesipho spp",NA,NA
NA,"Cominella adspersa",NA,NA
NA,"Crassostrea gigas",NA,NA
NA,"Dicathais orbita",NA,NA
"Haustrum haustorium","Diloma aethiops",NA,NA
NA,"Diloma bicanaliculata",NA,NA
NA,"Diloma nigerrima",NA,NA
NA,"Diloma zelandica",NA,NA
NA,"Fossarina rimata",NA,NA
"Haustrum haustorium","Haustrum scobina",NA,NA
"Haustrum scobina","Mytilus galloprovincialis",NA,NA
NA,"Nerita atramentosa",NA,NA
NA,"Notoacmea parviconoidea",NA,NA
NA,"Paratrophon patens",NA,NA
"Haustrum haustorium","Patelloida corticata",NA,NA
"Haustrum haustorium","Plaxiphora caelata",NA,NA
"Haustrum scobina","Risellopsis varia",NA,NA
"Haustrum haustorium","Risellopsis varia",NA,NA
"Haustrum haustorium","Siphonaria australis",NA,NA
"Haustrum haustorium","Sypharochiton pelliserpentis",NA,NA
NA,"Trimusculus conicus",NA,NA
"Haustrum haustorium","Turbo smaragdus",NA,NA
NA,"UNID",NA,NA
NA,"UNID Diloma",NA,NA
NA,"UNID Limpet",NA,NA
NA,"UNID Snail",NA,NA
NA,"Zeacumantus subcarinatus",NA,NA
